Frame_No,ObjID,x1,y1,x2,y2,Class_Name,Confidence,Direction,Aggregate_Count
23,7,386,2,657,112,car,0.41,N/A,0
23,6,994,1,1160,193,car,0.58,N/A,0
23,5,723,64,957,342,truck,0.52,N/A,0
23,4,1235,11,1422,294,car,0.46,N/A,0
23,3,1232,300,1453,692,bus,0.62,N/A,0
23,2,182,122,696,352,car,0.77,N/A,0
23,1,1530,122,1824,331,car,0.81,N/A,0
24,23,1771,852,1918,1083,person,0.34,N/A,0
24,21,747,981,882,1076,person,0.28,N/A,0
24,19,391,47,611,137,car,0.27,N/A,0
24,8,1229,303,1455,702,truck,0.43,N/A,0
24,7,386,2,657,112,car,0.41,N/A,0
24,6,994,1,1160,194,car,0.58,N/A,0
24,5,723,64,958,342,truck,0.52,N/A,0
24,4,1230,11,1421,301,car,0.46,N/A,0
24,3,1232,301,1454,694,bus,0.62,N/A,0
24,2,182,122,696,352,car,0.77,N/A,0
24,1,1529,121,1821,327,car,0.81,N/A,0
25,25,384,24,626,129,car,0.28,N/A,0
25,23,1777,861,1920,1084,person,0.3,N/A,0
25,19,390,50,607,140,car,0.33,N/A,0
25,8,1229,308,1455,709,truck,0.46,N/A,0
25,7,383,1,656,112,car,0.45,N/A,0
25,6,993,1,1160,194,car,0.57,N/A,0
25,5,722,64,957,342,truck,0.52,N/A,0
25,4,1235,10,1425,298,car,0.5,N/A,0
25,3,1231,305,1454,699,bus,0.53,N/A,0
25,2,181,123,695,352,car,0.82,N/A,0
25,1,1518,112,1808,316,car,0.87,N/A,0
26,25,385,22,630,128,car,0.3,N/A,0
26,19,390,49,607,138,car,0.29,N/A,0
26,8,1230,309,1455,709,truck,0.49,N/A,0
26,7,385,1,657,112,car,0.44,N/A,0
26,6,993,1,1160,194,car,0.55,N/A,0
26,5,722,64,957,342,truck,0.53,N/A,0
26,4,1225,12,1421,304,car,0.5,N/A,0
26,3,1231,309,1454,703,truck,0.49,N/A,0
26,2,180,123,696,352,car,0.81,N/A,0
26,1,1510,107,1797,307,car,0.84,N/A,0
27,25,387,23,625,129,car,0.27,N/A,0
27,19,390,49,607,138,car,0.31,N/A,0
27,8,1230,311,1455,712,truck,0.56,N/A,0
27,7,386,1,656,113,car,0.52,N/A,0
27,6,993,1,1160,193,car,0.57,N/A,0
27,5,723,63,958,342,truck,0.57,N/A,0
27,4,1222,11,1422,306,car,0.6,N/A,0
27,3,1231,312,1454,707,bus,0.47,N/A,0
27,2,182,121,698,351,car,0.72,N/A,0
27,1,1506,102,1790,298,car,0.83,N/A,0
28,25,389,23,623,130,car,0.29,N/A,0
28,19,389,47,607,138,car,0.32,N/A,0
28,8,1230,313,1455,715,truck,0.56,N/A,0
28,7,386,1,655,113,car,0.51,N/A,0
28,6,992,1,1160,193,car,0.59,N/A,0
28,5,723,63,958,342,truck,0.57,N/A,0
28,4,1221,7,1424,298,car,0.63,N/A,0
28,3,1231,314,1454,710,bus,0.5,N/A,0
28,2,183,121,698,351,car,0.68,N/A,0
28,1,1503,97,1783,291,car,0.82,N/A,0
29,25,391,23,623,130,car,0.26,N/A,0
29,19,390,48,608,140,car,0.29,N/A,0
29,8,1230,315,1456,718,truck,0.58,N/A,0
29,7,386,1,655,114,car,0.46,N/A,0
29,6,994,1,1160,193,car,0.55,N/A,0
29,5,724,63,958,342,truck,0.54,N/A,0
29,4,1218,10,1423,303,car,0.54,N/A,0
29,3,1231,316,1454,712,bus,0.53,N/A,0
29,2,183,121,699,351,car,0.74,N/A,0
29,1,1499,94,1778,286,car,0.83,N/A,0
30,19,387,49,604,139,car,0.32,N/A,0
30,8,1230,318,1456,723,truck,0.56,N/A,0
30,7,383,1,654,115,car,0.51,N/A,0
30,6,993,1,1160,193,car,0.5,N/A,0
30,5,723,63,958,342,truck,0.59,N/A,0
30,4,1217,11,1423,304,car,0.59,N/A,0
30,3,1231,318,1455,716,bus,0.45,N/A,0
30,2,188,120,701,350,car,0.75,N/A,0
30,1,1494,89,1770,279,car,0.85,N/A,0
31,27,1204,0,1349,73,car,0.29,N/A,0
31,19,386,50,600,137,car,0.32,N/A,0
31,8,1230,319,1456,725,truck,0.5,N/A,0
31,7,378,1,652,116,car,0.51,N/A,0
31,6,993,1,1160,193,car,0.42,N/A,0
31,5,724,63,958,342,truck,0.58,N/A,0
31,4,1217,13,1424,308,car,0.63,N/A,0
31,3,1231,319,1455,719,bus,0.57,N/A,0
31,2,190,120,702,350,car,0.77,N/A,0
31,1,1489,83,1762,271,car,0.86,N/A,0
32,27,1210,0,1351,72,car,0.28,N/A,0
32,19,385,52,597,136,car,0.28,N/A,0
32,8,1230,321,1456,728,truck,0.53,N/A,0
32,7,374,1,651,116,car,0.45,N/A,0
32,6,993,1,1160,192,car,0.42,N/A,0
32,5,724,63,958,341,truck,0.59,N/A,0
32,4,1216,14,1425,311,car,0.62,N/A,0
32,3,1231,321,1455,723,bus,0.53,N/A,0
32,2,191,120,701,351,car,0.82,N/A,0
32,1,1486,78,1755,264,car,0.88,N/A,0
33,27,1215,0,1351,71,car,0.3,N/A,0
33,19,383,56,590,138,car,0.26,N/A,0
33,8,1230,324,1457,732,truck,0.47,N/A,0
33,7,372,1,652,116,car,0.43,N/A,0
33,6,993,1,1160,192,car,0.43,N/A,0
33,5,723,63,958,341,truck,0.56,N/A,0
33,4,1214,15,1425,315,car,0.62,N/A,0
33,3,1231,322,1456,727,bus,0.44,N/A,0
33,2,191,121,699,351,car,0.84,N/A,0
33,1,1484,73,1750,256,car,0.84,N/A,0
34,27,1218,0,1351,70,car,0.32,N/A,0
34,19,384,55,593,136,car,0.28,N/A,0
34,8,1231,326,1459,736,bus,0.65,N/A,0
34,7,363,3,648,119,car,0.44,N/A,0
34,6,994,1,1160,191,car,0.41,N/A,0
34,5,724,64,958,340,truck,0.57,N/A,0
34,4,1213,14,1426,314,car,0.55,N/A,0
34,3,1231,325,1457,731,truck,0.46,N/A,0
34,2,190,120,698,351,car,0.84,N/A,0
34,1,1481,66,1744,247,car,0.79,N/A,0
35,30,391,17,627,128,car,0.3,N/A,0
35,27,1221,0,1351,68,car,0.32,N/A,0
35,8,1231,326,1460,738,bus,0.58,N/A,0
35,7,358,3,647,120,car,0.43,N/A,0
35,6,993,1,1160,191,car,0.44,N/A,0
35,5,724,64,958,340,truck,0.5,N/A,0
35,4,1212,14,1426,313,car,0.42,N/A,0
35,3,1231,327,1458,736,truck,0.37,N/A,0
35,2,189,120,696,352,car,0.83,N/A,0
35,1,1477,63,1737,243,car,0.78,N/A,0
36,27,1221,0,1351,67,car,0.4,N/A,0
36,8,1231,329,1460,741,bus,0.81,N/A,0
36,7,355,3,647,121,car,0.42,N/A,0
36,6,993,2,1160,191,car,0.44,N/A,0
36,5,725,64,958,340,truck,0.5,N/A,0
36,4,1212,15,1427,315,car,0.32,N/A,0
36,3,1230,329,1458,740,truck,0.29,N/A,0
36,2,191,120,696,352,car,0.83,N/A,0
36,1,1473,59,1731,238,car,0.83,N/A,0
37,27,1222,0,1353,66,car,0.4,N/A,0
37,8,1232,330,1462,744,bus,0.74,N/A,0
37,7,353,3,647,121,car,0.43,N/A,0
37,6,992,2,1160,191,car,0.38,N/A,0
37,5,725,64,958,340,truck,0.5,N/A,0
37,3,1230,330,1460,744,truck,0.33,N/A,0
37,2,190,121,695,352,car,0.82,N/A,0
37,1,1468,54,1724,234,car,0.82,N/A,0
38,27,1222,0,1354,66,car,0.41,N/A,0
38,8,1232,331,1462,746,bus,0.68,N/A,0
38,7,347,3,647,122,car,0.37,N/A,0
38,6,995,2,1161,191,car,0.42,N/A,0
38,5,723,64,957,339,truck,0.44,N/A,0
38,3,1230,330,1460,745,truck,0.39,N/A,0
38,2,180,121,692,352,car,0.82,N/A,0
38,1,1463,47,1717,224,car,0.86,N/A,0
39,31,1216,19,1427,313,car,0.56,N/A,0
39,27,1223,0,1355,66,car,0.41,N/A,0
39,8,1232,332,1463,749,bus,0.65,N/A,0
39,7,343,3,647,123,car,0.38,N/A,0
39,6,997,1,1161,191,car,0.49,N/A,0
39,5,721,63,956,339,truck,0.55,N/A,0
39,3,1231,331,1462,747,truck,0.56,N/A,0
39,2,175,120,691,351,car,0.82,N/A,0
39,1,1459,43,1711,219,car,0.84,N/A,0
40,31,1214,18,1427,312,car,0.45,N/A,0
40,27,1224,0,1356,67,car,0.45,N/A,0
40,8,1231,334,1462,752,bus,0.77,N/A,0
40,7,361,1,657,118,car,0.37,N/A,0
40,6,998,1,1160,191,car,0.55,N/A,0
40,5,720,62,956,338,truck,0.61,N/A,0
40,3,1230,334,1461,752,bus,0.77,N/A,0
40,2,178,120,694,350,car,0.73,N/A,0
40,1,1455,39,1705,213,car,0.85,N/A,0
41,31,1215,18,1427,307,truck,0.32,N/A,0
41,27,1223,0,1356,67,car,0.49,N/A,0
41,8,1231,336,1462,755,truck,0.57,N/A,0
41,7,363,0,657,116,car,0.36,N/A,0
41,6,999,0,1160,191,car,0.54,N/A,0
41,5,722,61,957,337,truck,0.6,N/A,0
41,3,1230,336,1462,755,bus,0.61,N/A,0
41,2,180,119,695,349,car,0.77,N/A,0
41,1,1453,33,1701,203,car,0.82,N/A,0
42,32,1003,0,1159,190,truck,0.27,N/A,0
42,31,1213,19,1428,311,truck,0.33,N/A,0
42,27,1222,0,1354,67,car,0.49,N/A,0
42,8,1231,338,1462,757,truck,0.6,N/A,0
42,7,364,0,656,114,car,0.35,N/A,0
42,6,998,1,1159,191,car,0.52,N/A,0
42,5,722,61,957,337,truck,0.58,N/A,0
42,3,1231,338,1463,757,bus,0.73,N/A,0
42,2,177,119,694,349,car,0.78,N/A,0
42,1,1450,30,1695,196,car,0.85,N/A,0
43,32,1002,0,1160,191,truck,0.31,N/A,0
43,31,1213,21,1428,310,car,0.51,N/A,0
43,27,1223,0,1356,67,car,0.45,N/A,0
43,8,1231,339,1464,758,truck,0.72,N/A,0
43,7,361,0,655,113,car,0.34,N/A,0
43,6,998,1,1159,192,car,0.52,N/A,0
43,5,721,62,957,338,truck,0.56,N/A,0
